time,clock_time,speed,grade,vo2_kg,vo2,vco2,rer,rr,vt_btps,ve,br,peto2,petco2,hr,ve_vo2,ve_vco2,excess_co2
0,11:46:29,4.5,1.1,24.8,1935,1703,0.88,23,2095,47.3,73.4,101,38,132,24.444444444444443,27.7745155607751,-204.18397932816538
11,11:46:40,4.5,1.1,23.6,1838,1760,0.96,23,2267,51.5,71,105,36,136,28.019586507072905,29.261363636363637,-74.68988030467904
14,11:46:43,4.5,1.1,23.5,1830,1746,0.95,21,2412,49.7,72,105,37,137,27.158469945355193,28.465063001145477,-80.14426229508194
17,11:46:46,4.7,1.1,23.4,1823,1745,0.96,21,2394,50.2,71.7,104,37,137,27.537026878771258,28.76790830945559,-74.66264399341753
20,11:46:49,4.7,1.1,23.6,1837,1798,0.98,19,2794,52.7,70.3,105,37,138,28.688078388677194,29.31034482758621,-38.17201959716931
23,11:46:52,4.6,1.1,21.9,1706,1615,0.95,21,2146,44.9,74.7,100,39,138,26.318874560375146,27.801857585139317,-86.14595545134807
25,11:46:54,4.6,1.1,20.1,1566,1446,0.92,24,1695,40,77.4,102,38,138,25.54278416347382,27.662517289073303,-110.80459770114953
28,11:46:57,4.8,1.1,25.2,1963,1786,0.91,21,2451,50.7,71.4,103,37,138,25.827814569536425,28.387458006718926,-161.04024452368822
31,11:47:00,4.8,1.1,26.5,2064,1874,0.91,23,2273,52.5,70.4,102,37,138,25.436046511627907,28.014941302027747,-172.50968992248067
33,11:47:02,4.8,1.1,28.7,2238,2068,0.92,24,2498,60.2,66.1,103,37,138,26.899016979445936,29.110251450676987,-157.0866845397677
36,11:47:05,4.8,1.1,23.9,1866,1801,0.97,24,2209,53.9,69.6,104,36,138,28.885316184351552,29.927817878956137,-62.73579849946418
38,11:47:07,4.6,1.1,24.3,1897,1816,0.96,21,2534,54.3,69.4,105,36,138,28.624143384290985,29.900881057268723,-77.5413811280971
40,11:47:09,4.5,1.1,20,1557,1524,0.98,30,1493,45.2,74.5,105,35,138,29.030186255619782,29.658792650918638,-32.300578034682076
42,11:47:11,4.8,1.1,26.2,2046,1895,0.93,36,1528,55.6,68.7,102,37,138,27.174975562072337,29.34036939313984,-139.85581622678387
45,11:47:14,5,1.1,27.7,2160,2062,0.95,18,3324,60.3,66.1,105,36,138,27.916666666666664,29.243452958292917,-93.5537037037036
48,11:47:17,4.8,1.1,24.5,1911,1757,0.92,24,2168,51.2,71.2,103,38,138,26.79225536368394,29.140580535002847,-141.58974358974365
49,11:47:18,5,1.1,22.8,1779,1701,0.96,42,1250,52.4,70.5,105,35,138,29.45474985947161,30.80540858318636,-74.58010118043853
52,11:47:21,4.8,1.1,20.4,1591,1466,0.92,25,1814,45.7,74.2,105,36,139,28.724072910119425,31.173260572987726,-115.17913262099319
54,11:47:23,5,1.1,30.1,2348,2159,0.92,25,2462,61.3,65.5,102,37,139,26.10732538330494,28.392774432607688,-173.7866269165247
56,11:47:25,4.6,1.1,26.4,2059,1893,0.92,25,2264,56.6,68.1,104,36,140,27.489072365225837,29.89963021658743,-152.61680427391934
59,11:47:28,5.1,1.1,24.4,1902,1738,0.91,25,2060,52.2,70.6,105,36,140,27.44479495268139,30.034522439585732,-149.85909568874877
61,11:47:30,5.1,1.1,27.4,2137,1932,0.9,25,2295,57.9,67.4,103,36,141,27.094057089377632,29.96894409937888,-185.3345811885822
64,11:47:33,4.8,1.1,27.6,2155,1932,0.9,24,2311,55.5,68.8,102,37,141,25.75406032482599,28.72670807453416,-199.9238979118329
67,11:47:36,5.1,1.1,23.7,1846,1674,0.91,21,2333,47.9,73,102,37,143,25.947995666305527,28.61409796893668,-155.97399783315268
69,11:47:38,4.8,1.1,30.9,2411,2084,0.86,26,2307,59.4,66.5,100,38,144,24.63708004977188,28.502879078694818,-282.6495230194939
72,11:47:41,4.8,1.1,28.6,2234,1974,0.88,24,2357,56.3,68.3,101,37,145,25.201432408236347,28.520770010131713,-229.740376007162
74,11:47:43,5.2,1.1,28.8,2244,1997,0.89,23,2526,57,67.9,101,37,145,25.40106951871658,28.542814221331998,-219.8123885918003
76,11:47:45,5.3,1.1,31.3,2439,2185,0.9,27,2411,64,63.9,102,36,146,26.240262402624026,29.290617848970253,-227.54817548175492
79,11:47:48,5.3,1.1,28.6,2232,2023,0.91,27,2223,59.5,66.5,104,36,147,26.65770609318996,29.41176470588235,-189.4296594982079
81,11:47:50,5.3,1.1,29,2265,2067,0.91,25,2446,60.9,65.7,103,37,147,26.887417218543046,29.46298984034833,-180.6913907284768
83,11:47:52,5.1,1.1,28.7,2237,1999,0.89,28,2056,56.6,68.1,101,37,147,25.301743406347786,28.31415707853927,-212.6785873938311
86,11:47:55,5,1.1,31.3,2441,2165,0.89,26,2378,62.6,64.7,101,37,148,25.645227365833676,28.914549653579677,-244.79311757476444
88,11:47:57,5.3,1.1,28,2182,1948,0.89,26,2217,57.6,67.6,102,36,148,26.397800183318058,29.568788501026695,-208.90559120073317
90,11:47:59,5.5,1.1,27.5,2145,1898,0.88,30,1952,59.5,66.5,103,36,148,27.73892773892774,31.348788198103264,-218.5575757575757
92,11:48:01,5.3,1.1,31,2417,2176,0.9,30,2115,63.5,64.3,103,36,148,26.272238311956972,29.18198529411765,-216.96979726934205
94,11:48:03,5.5,1.1,30.9,2412,2147,0.89,27,2366,63.9,64,104,36,148,26.492537313432834,29.76245924545878,-235.88515754560535
96,11:48:05,5.3,1.1,30.3,2361,2126,0.9,26,2411,63.2,64.4,103,36,149,26.76831850910631,29.727187206020698,-211.60948750529428
98,11:48:07,5.3,1.1,29.6,2308,2095,0.91,28,2254,64.1,63.9,104,35,149,27.772963604852684,30.59665871121718,-193.34272097053736
101,11:48:10,5.5,1.1,25.9,2020,1795,0.89,25,1956,49.7,72,103,36,149,24.603960396039604,27.688022284122564,-199.93811881188117
103,11:48:12,5.3,1.1,30.3,2365,2126,0.9,26,2403,61.9,65.1,103,36,150,26.173361522198732,29.115710253998117,-214.84735729386898
105,11:48:14,5.6,1.1,31.3,2441,2161,0.89,30,2238,67.1,62.2,104,35,150,27.48873412535846,31.050439611291065,-247.88201556739045
107,11:48:16,5.7,1.1,36.3,2833,2582,0.91,31,2397,75.3,57.6,102,37,150,26.579597599717612,29.163439194422928,-228.76173667490275
109,11:48:18,5.7,1.1,29.6,2306,2087,0.91,31,1992,61.9,65.1,103,36,151,26.843018213356462,29.659798754192618,-198.2016478751084
111,11:48:20,5.6,1.1,31.1,2428,2183,0.9,28,2239,62.2,65,100,38,150,25.617792421746294,28.492899679340358,-220.27800658978572
114,11:48:23,5.5,1.1,28.8,2248,1968,0.88,23,2418,55,69,99,39,150,24.466192170818506,27.947154471544714,-245.12455516014234
117,11:48:26,5.5,1.1,28.5,2225,1874,0.84,19,2670,49.9,71.9,96,39,150,22.42696629213483,26.627534685165422,-295.62876404494386
120,11:48:29,5.7,1.1,36.4,2841,2306,0.81,23,2663,61.7,65.2,94,40,150,21.717705033438932,26.75628794449263,-434.2520239352341
122,11:48:31,5.8,1.1,33.7,2632,2178,0.83,24,2433,59.3,66.6,95,40,150,22.530395136778115,27.22681359044995,-375.6884498480242
125,11:48:34,5.8,1.1,33.5,2611,2154,0.83,21,2791,57.5,67.6,95,40,150,22.022213711221752,26.694521819870012,-377.011872845653
128,11:48:37,5.6,1.1,28.7,2237,1824,0.82,19,2540,47.3,73.3,94,41,149,21.144389807778275,25.932017543859647,-336.7510058113544
131,11:48:40,5.6,1.1,33.7,2631,2081,0.79,22,2487,54.1,69.5,94,40,149,20.562523755226152,25.99711677078328,-435.02470543519576
134,11:48:43,5.8,1.1,34.3,2676,2132,0.8,21,2635,55.5,68.7,92,41,149,20.739910313901348,26.03189493433396,-433.41106128550064
136,11:48:45,5.8,1.1,32.9,2571,2080,0.81,22,2446,55,69,94,40,149,21.392454297938542,26.442307692307693,-397.2306495527032
139,11:48:48,5.8,1.1,37.4,2917,2319,0.79,26,2479,63.3,64.3,95,40,149,21.700377099760026,27.296248382923675,-475.406924922866
142,11:48:51,5.8,1.1,33.6,2619,2155,0.82,21,2869,59.1,66.7,96,39,149,22.56586483390607,27.424593967517403,-381.79457808323787
144,11:48:53,6,1.1,34.9,2726,2219,0.81,26,2292,60.1,66.2,95,40,149,22.046955245781366,27.084272194682292,-412.704695524578
147,11:48:56,6,1.1,31.8,2482,2048,0.83,23,2435,55.6,68.7,96,39,149,22.401289282836423,27.1484375,-358.1112006446415
150,11:48:59,6.1,1.1,33.4,2603,2156,0.83,16,3450,56.4,68.2,92,41,150,21.667306953515173,26.159554730983302,-370.2389550518633
153,11:49:02,6,1.1,35.2,2743,2162,0.79,26,2164,55.7,68.6,92,42,150,20.306234050309882,25.763182238667902,-457.9372949325557
155,11:49:04,6.2,1.1,37.5,2929,2329,0.8,23,2630,60.9,65.7,95,40,150,20.792079207920793,26.148561614426793,-477.0911573916012
158,11:49:07,6.2,1.1,34.3,2679,2181,0.81,22,2632,58.1,67.3,93,41,151,21.687196715192236,26.63915635029803,-405.4266517357223
162,11:49:11,5.8,1.1,27.2,2125,1573,0.74,17,2094,35,80.3,84,46,151,16.47058823529412,22.25047679593134,-408.6098823529412
164,11:49:13,6.2,1.1,40.7,3178,2422,0.76,24,2552,62.5,64.8,91,41,151,19.666456891126494,25.80511973575557,-576.1585903083701
167,11:49:16,6.2,1.1,39.1,3052,2410,0.79,24,2639,63.1,64.5,93,40,151,20.674967234600263,26.182572614107883,-506.95281782437746
169,11:49:18,6.1,1.1,39.2,3059,2490,0.81,23,2957,67,62.3,95,40,150,21.90258254331481,26.907630522088354,-463.16116377901267
172,11:49:21,6.2,1.1,33.6,2620,2182,0.83,23,2559,59.5,66.5,97,39,150,22.709923664122137,27.268560953253896,-364.77709923664133
175,11:49:24,6.2,1.1,33.5,2614,2171,0.83,22,2717,58.9,66.8,95,40,149,22.532517214996176,27.130354675264854,-367.92387146136184
178,11:49:27,6.2,1.1,36.9,2879,2295,0.8,20,2948,58.6,67,92,41,150,20.354289683918026,25.53376906318083,-465.53664466828764
180,11:49:29,6.2,1.1,37.9,2958,2353,0.8,23,2646,61.5,65.3,94,40,150,20.79107505070994,26.13684657883553,-481.25929682217725
183,11:49:32,6.5,1.1,38.6,3011,2444,0.81,24,2714,65.4,63.2,93,40,151,21.72035868482232,26.759410801963995,-460.2284955164398
186,11:49:35,6.3,1.1,29.5,2302,1892,0.82,20,2481,49.5,72.1,94,40,152,21.50304083405734,26.16279069767442,-336.97654213727196
189,11:49:38,6.3,1.1,34.3,2676,2140,0.8,20,2829,55.6,68.7,92,41,153,20.777279521674142,25.981308411214954,-428.6397608370703
191,11:49:40,6.3,1.1,34.3,2680,2146,0.8,21,2535,54.3,69.4,90,42,153,20.261194029850746,25.30288909599254,-427.5985074626865
195,11:49:44,6.5,1.1,37.6,2932,2331,0.8,18,3260,59.5,66.5,92,41,153,20.293315143246932,25.525525525525527,-477.80729877216913
198,11:49:47,6.3,1.1,36.1,2816,2241,0.8,21,2702,57.3,67.7,92,41,153,20.348011363636363,25.568942436412314,-457.59055397727275
200,11:49:49,6.5,1.1,40,3122,2492,0.8,22,2876,64.4,63.7,94,40,154,20.627802690582964,25.842696629213485,-502.8699551569507
203,11:49:52,6.6,1.1,39,3044,2453,0.81,25,2623,65.3,63.2,96,39,155,21.452036793692507,26.620464737056665,-476.2559132720105
205,11:49:54,6.6,1.1,34.5,2692,2194,0.81,23,2536,59,66.8,94,40,155,21.91679049034175,26.89152233363719,-405.87369985141163
207,11:49:56,6.6,1.1,39,3045,2533,0.83,32,2308,74.9,57.8,101,36,155,24.597701149425287,29.569680221081722,-425.91001642036144
209,11:49:58,6.6,1.1,36.6,2852,2413,0.85,28,2364,65.4,63.2,97,39,156,22.931276297335206,27.10319104848736,-371.42601683029443
212,11:50:01,6.5,1.1,32.8,2558,2144,0.84,23,2467,57.2,67.8,97,39,156,22.36121970289289,26.67910447761194,-346.9960906958561
214,11:50:03,6.6,1.1,41.5,3237,2655,0.82,27,2669,71.8,59.5,96,39,156,22.181031819586035,27.043314500941616,-477.3586654309547
216,11:50:05,6.8,1.1,43,3354,2852,0.85,27,3099,82.3,53.7,101,37,156,24.537865235539652,28.856942496493687,-426.8646392367323
219,11:50:08,6.6,1.1,40.2,3134,2792,0.89,26,3056,79,55.5,100,38,155,25.20740268028079,28.29512893982808,-304.67900446713475
221,11:50:10,6.6,1.1,32.3,2521,2190,0.87,23,2547,59.7,66.4,99,39,156,23.681078936929794,27.26027397260274,-287.54065846886147
223,11:50:12,6.9,1.1,36.8,2868,2393,0.83,28,2378,66.1,62.8,98,39,156,23.047419804741978,27.62223150856665,-396.33019525801956
226,11:50:15,6.9,1.1,36.5,2846,2371,0.83,24,2608,63.1,64.5,96,40,156,22.171468728039354,26.613243357233234,-395.7220660576247
229,11:50:18,6.8,1.1,35.8,2795,2318,0.83,21,2875,60.9,65.7,96,40,157,21.78890876565295,26.27264883520276,-395.59427549194993
231,11:50:20,6.8,1.1,38.3,2987,2427,0.81,24,2667,63,64.5,92,42,157,21.09139604954804,25.95797280593325,-455.01171744224985
234,11:50:23,7,1.1,34.2,2665,2189,0.82,21,2763,58,67.3,94,41,157,21.763602251407132,26.496116948378255,-390.98086303939954
237,11:50:26,6.8,1.1,33.5,2613,2076,0.79,20,2483,49.5,72.1,89,43,158,18.94374282433984,23.84393063583815,-426.64064293915044
240,11:50:29,7,1.1,43.2,3373,2627,0.78,24,2786,66.1,62.8,90,42,158,19.596798102579307,25.161781499809667,-581.0085976875184
242,11:50:31,7.1,1.1,39.4,3076,2461,0.8,22,2949,64.3,63.8,92,41,158,20.9037711313394,26.127590410402274,-492.03998699609883
245,11:50:34,7,1.1,36.6,2856,2271,0.8,22,2608,58.6,67,93,41,158,20.518207282913167,25.803610744165567,-465.1733193277312
248,11:50:37,6.8,1.1,38.8,3026,2414,0.8,22,2800,61.8,65.2,91,42,158,20.423000660938534,25.6006628003314,-488.2247191011236
251,11:50:40,7.1,1.1,39,3044,2461,0.81,18,3566,63.1,64.4,92,42,158,20.729303547963205,25.639983746444535,-471.3413272010512
254,11:50:43,7,1.1,40.6,3167,2502,0.79,24,2642,62.4,64.8,90,43,159,19.703189137985472,24.940047961630697,-525.3646984527945
256,11:50:45,7.1,1.1,35,2729,2209,0.81,23,2524,57.1,67.8,94,40,159,20.923415170392087,25.848800362154822,-420.91608647856356
259,11:50:48,7.3,1.1,43.5,3394,2732,0.8,22,3082,69.3,61,91,42,159,20.41838538597525,25.36603221083455,-532.8768414849733
262,11:50:51,7.1,1.1,40.6,3167,2536,0.8,21,3108,65.9,62.9,93,41,160,20.808335964635305,25.985804416403788,-505.27818124407963
