t,rf,vt,ve,vo2_abs,vco2_abs,rer,vo2_rel,hr,pet_o2,pet_co2,phase,power,stage
-301,28.04,0.716,20.075,0.6646306676,0.4520953947,0.68,6.63,54,112,27,REST,0,1
-298,21.28,0.594,12.638,0.4004995999,0.27020009520000005,0.67,4,53,113,26,REST,0,1
-294,14.96,0.715,10.698,0.3354120345,0.2295456689,0.68,3.35,53,112,26,REST,0,1
-291,19.35,0.698,13.51,0.4762241842,0.3184980309,0.67,4.75,53,106,31,REST,0,1
-288,13.07,2.24,29.281,1.1166607231,0.8337604338,0.75,11.14,55,110,31,REST,0,1
-284,21.05,0.724,15.242,0.4552724104,0.3394492397,0.75,4.54,58,116,26,REST,0,1
-280,14.56,0.593,8.636,0.22497794070000002,0.1718101989,0.76,2.25,58,117,26,REST,0,1
-276,19.11,1.064,20.331,0.7043217545,0.5565069263,0.79,7.03,58,113,29,REST,0,1
-272,12,0.492,5.904,0.1532173953,0.11420630579999999,0.75,1.53,58,112,28,REST,0,1
-267,15,0.252,3.78,0.0774214937,0.0535207771,0.69,0.77,58,125,17,REST,0,1
-264,16.71,0.864,14.44,0.5378755324,0.3719149466,0.69,5.37,57,108,30,REST,0,1
-261,17.09,0.816,13.949,0.5384412612,0.3622940881,0.67,5.37,56,104,32,REST,0,1
-258,17.7,0.872,15.434,0.5767004942,0.38076139439999995,0.66,5.76,56,105,31,REST,0,1
-254,18.13,0.884,16.024,0.6268369426,0.419669351,0.67,6.26,55,106,31,REST,0,1
-250,17.96,0.93,16.707,0.6179994652,0.4157648947,0.67,6.17,55,107,30,REST,0,1
-248,18.63,0.831,15.484,0.5294494965000001,0.34901917650000003,0.66,5.28,54,108,29,REST,0,1
-245,18.63,0.913,17.012,0.5930624037,0.4053280962,0.68,5.92,54,107,31,REST,0,1
-240,17.54,0.831,14.579,0.48071604689999997,0.33149139229999997,0.69,4.8,54,110,28,REST,0,1
-237,16.67,0.801,13.35,0.4890626364,0.3491821755,0.71,4.88,54,109,30,REST,0,1
-233,18.13,0.77,13.958,0.5067980155,0.3575612665,0.71,5.06,54,108,30,REST,0,1
-231,16,0.73,11.68,0.38443850220000003,0.27502551540000003,0.72,3.84,53,110,29,REST,0,1
-227,17.86,0.712,12.714,0.4117335985,0.287955747,0.7,4.11,53,110,28,REST,0,1
-223,19.8,0.624,12.356,0.3669417289,0.249752164,0.68,3.66,52,114,26,REST,0,1
-221,18.87,0.854,16.113,0.5550463455,0.3920397545,0.71,5.54,52,106,32,REST,0,1
-219,22.9,0.535,12.252,0.36815001799999997,0.2478403296,0.67,3.67,51,112,27,REST,0,1
-216,18.4,0.682,12.552,0.34461449629999996,0.25668659580000003,0.74,3.44,51,113,27,REST,0,1
-212,16.04,1.279,20.519,0.7855617852000001,0.6138660598,0.78,7.84,55,108,33,REST,0,1
-207,18.46,0.858,15.84,0.4736014116,0.3533002024,0.75,4.73,58,116,26,REST,0,1
-204,19.8,0.669,13.248,0.3595623154,0.26910573,0.75,3.59,57,113,28,REST,0,1
-202,17.65,0.875,15.441,0.4619887145,0.3477986016,0.75,4.61,57,111,30,REST,0,1
-199,17.34,0.833,14.445,0.4766053261,0.3618033902,0.76,4.76,56,109,31,REST,0,1
-194,18.35,0.712,13.064,0.37613013139999996,0.279328871,0.74,3.75,56,114,27,REST,0,1
-192,16.48,0.816,13.451,0.40967490650000005,0.30203723650000003,0.74,4.09,54,111,30,REST,0,1
-187,17.29,0.886,15.32,0.4750038954,0.3535162471,0.74,4.74,53,110,30,REST,0,1
-184,16.22,0.701,11.368,0.3336747645,0.2389115744,0.72,3.33,52,112,27,REST,0,1
-180,18.46,0.688,12.702,0.36848303299999996,0.264458954,0.72,3.68,51,112,27,REST,0,1
-177,16.67,0.662,11.033,0.3040976164,0.2155754477,0.71,3.03,51,113,26,REST,0,1
